Page Tested,CUMULATIVE LAYOUT SHIFT,First Contentful Paint,First Input Delay,LARGEST CONTENTFUL PAINT,Speed Index,Time To Interactive,First Meaningful Paint
https://disruptiveadvertising.com/conversion-rate-optimization-services/,SLOW,2.5 s,FAST,AVERAGE,5.4 s,16.9 s,2.5 s
https://disruptiveadvertising.com/creative-services/,SLOW,2.0 s,FAST,AVERAGE,5.3 s,16.9 s,2.1 s
https://disruptiveadvertising.com/social-media/facebook-power-5/,SLOW,2.6 s,FAST,AVERAGE,6.3 s,18.5 s,2.6 s
https://disruptiveadvertising.com/about/,SLOW,3.4 s,FAST,AVERAGE,6.9 s,18.3 s,3.4 s
https://disruptiveadvertising.com/about/our-mission/,SLOW,2.7 s,FAST,AVERAGE,6.3 s,17.7 s,2.7 s
https://disruptiveadvertising.com/careers/,SLOW,2.6 s,FAST,AVERAGE,6.3 s,16.6 s,2.6 s
https://disruptiveadvertising.com/industry/education/,SLOW,2.5 s,FAST,AVERAGE,6.9 s,19.5 s,2.5 s
https://disruptiveadvertising.com/industry/insurance/,SLOW,2.4 s,FAST,AVERAGE,7.1 s,19.3 s,2.4 s
https://disruptiveadvertising.com/industry/b2b/,SLOW,2.5 s,FAST,AVERAGE,7.0 s,20.0 s,2.5 s
https://disruptiveadvertising.com/marketing/stages-of-the-marketing-funnel/,SLOW,2.7 s,FAST,AVERAGE,7.3 s,19.1 s,2.7 s
https://disruptiveadvertising.com/industry/legal/,SLOW,3.8 s,FAST,AVERAGE,7.1 s,19.9 s,3.8 s
https://disruptiveadvertising.com/business/what-are-core-values-and-why-do-they-matter/,SLOW,2.4 s,FAST,AVERAGE,7.3 s,17.9 s,2.4 s
https://disruptiveadvertising.com/about/,SLOW,3.1 s,FAST,AVERAGE,7.4 s,19.9 s,3.2 s
https://disruptiveadvertising.com/business/innovating-in-the-workplace/,SLOW,2.5 s,FAST,AVERAGE,8.0 s,21.1 s,2.5 s
https://disruptiveadvertising.com/audit-form/,SLOW,2.5 s,FAST,AVERAGE,9.7 s,19.3 s,2.5 s
https://disruptiveadvertising.com/ppc-management-services/facebook-advertising/,SLOW,3.3 s,FAST,AVERAGE,7.0 s,21.0 s,3.3 s
https://disruptiveadvertising.com/ppc-management-services/adwords-management/,SLOW,2.5 s,FAST,AVERAGE,7.2 s,16.8 s,2.5 s
https://disruptiveadvertising.com/analytics/4-ways-you-should-always-use-google-analytics-to-track-performance/,SLOW,2.6 s,FAST,AVERAGE,8.2 s,19.0 s,2.6 s
https://disruptiveadvertising.com/landing-pages/landing-page-design/,SLOW,2.5 s,FAST,AVERAGE,6.9 s,16.1 s,2.5 s
https://disruptiveadvertising.com/ppc/reasons-use-ad-group-negatives/,SLOW,2.8 s,FAST,AVERAGE,8.4 s,20.4 s,2.8 s
